date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:39:32	56193/56193	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:17:44%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/index.html	(from )
06:39:32	280/280	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2014%20Jun%202024%2013:39:28%20GMT	https://themes.potenzaglobalsolutions.com/robots.txt		(from )
06:39:32	1172/1172	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Fri,%2004%20Sep%202020%2012:18:18%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/images/favicon.ico	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/images/favicon.ico	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:32	57339/57339	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Sep%202020%2012:17:57%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/css/font-awesome/all.min.css	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:32	4365/4365	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Sep%202020%2012:17:55%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/css/flaticon/flaticon.css	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/css/flaticon/flaticon.css	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:33	160302/160302	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Sep%202020%2012:17:53%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/css/bootstrap/bootstrap.min.css	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/css/bootstrap/bootstrap.min.css	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:33	17588/17588	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Sep%202020%2012:18:01%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/css/select2/select2.css	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/css/select2/select2.css	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:33	3356/3356	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Sep%202020%2012:18:00%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/css/owl-carousel/owl.carousel.min.css	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/css/owl-carousel/owl.carousel.min.css	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:33	6302/6302	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Sep%202020%2012:17:59%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/css/magnific-popup/magnific-popup.css	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/css/magnific-popup/magnific-popup.css	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:34	19789/19789	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Sep%202020%2012:18:05%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/css/swiper/swiper.min.css	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/css/swiper/swiper.min.css	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:34	58139/58139	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Sep%202020%2012:17:51%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/css/animate/animate.min.css	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/css/animate/animate.min.css	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:34	117015/117015	---M-Z	200	added ('OK')	text/css	date:Fri,%2004%20Sep%202020%2012:17:49%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/css/style.css	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/css/style.css	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:34	56193/56193	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:17:44%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/index.html	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/index-2.html	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:34	17514/17514	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2004%20Sep%202020%2012:18:18%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/images/logo.svg	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/images/logo.svg	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:35	57135/57135	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:17:44%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/index-02.html	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/index-02.html	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:35	45214/45214	---M-Z	200	added ('OK')	text/html	date:Sat,%2022%20May%202021%2004:02:47%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/index-03.html	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/index-03.html	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:35	29001/29001	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:17:47%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/about-us.html	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/about-us.html	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:35	24501/24501	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:17:46%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/teachers.html	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/teachers.html	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:36	30662/30662	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:17:46%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/teachers-single.html	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/teachers-single.html	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:36	22113/22113	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:17:43%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/gallery.html	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/gallery.html	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:36	28228/28228	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:17:45%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/pricing.html	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/pricing.html	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:36	26133/26133	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:17:43%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/faq.html	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/faq.html	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:37	17532/17532	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:17:45%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/sign-in.html	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/sign-in.html	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:37	17968/17968	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:17:46%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/sign-up.html	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/sign-up.html	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:37	53675/53675	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:17:42%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/error-page.html	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/error-page.html	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:37	4443/4443	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:17:48%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/coming-soon.html	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/coming-soon.html	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:38	18785/18785	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:17:45%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/privacy-policy.html	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/privacy-policy.html	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:38	18289/18289	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:17:47%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/terms-and-conditions.html	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/terms-and-conditions.html	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:38	43654/43654	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:17:41%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/course.html	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/course.html	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:38	43077/43077	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:17:41%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/course-detail.html	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/course-detail.html	(from https://themes.potenzaglobalsolutions.com/html/academic/)
06:39:39	28102/28102	---M-Z	200	added ('OK')	text/html	date:Fri,%2004%20Sep%202020%2012:17:43%20GMT	https://themes.potenzaglobalsolutions.com/html/academic/events-list.html	C:/Users/sahil.SAHILPC/OneDrive/Desktop/pictures%20project/College%20theme%201.1/themes.potenzaglobalsolutions.com/html/academic/events-list.html	(from https://themes.potenzaglobalsolutions.com/html/academic/)
